Service ID,CCG17CD,Est CCG from Postc,Service Name,postcode,Address,Enquiries Contact - phone,Fax,Enquiries Contact - email,URL,Service Provider / NHS Trust,Commisioner
oxfoxfds,E38000136,E38000136,Oxfordshire Wheelchair Service  OCE,OX3 7HE,Nuffield Orthopaedic Centre Windmill Road Headington  Oxford Oxon,01865 227273,01865 227294,oxfordshire.wheelchairservice@ouh.nhs.uk,,Oxford University Hospitals NHS Trust,Oxfordshire
shrewshp,E38000147,E38000147,Shropshire Wheelchair & Posture Service,SY1 3NJ,Shropshire Rehabilitation Centre Lancaster Road Harlescott  Shrewsbury Shropshire,01743 444051,01743 444071,,www.shropshirecommunityhealth.nhs.uk,Shropshire Community Health NHS Trust,Shropshire Community Health NHS Trust
carsglam,E38000056,W11000029,Artificial Limb and Appliance Service,CF5 2YN,Rookwood Hospital Fairwater Road Llandaff  Cardiff South Glamorgan,029 20 313905,029 20 565355,,www.wales.nhs.uk/alas,Cardiff and Vale University Health Board,Cardiff and Vale University Health Board
donsthyk,E38000022,E38000044,Wheelchair and Special Seating Services,DN4 8QN,Tickhill Road Hospital Tickhill road Balby  Doncaster South Yorkshire,01302 566701,01302 798366,,www.rdash.nhs.uk,Rotherham Doncaster South Humber NHS Foundation Trust,Rotherham Doncaster South Humber NHS Foundation Trust
rthstyork,E38000141,E38000141,Rotherham Equipment & Wheelchair Services ,S65 1SU,Chesterton Road Eastwood Trading Estate   Rotherham South Yorkshire,01709 302261,01709 302753,,,Rotherham NHS Foundation Trust,Rotherham NHS Foundation Trust
sffstyork,E38000146,E38000146,Mobility and Specialised Rehabilitation Centre,S5 7AU,Herries Road    Sheffield South Yorkshire,0114 2715807,0114 2269220,,,Sheffield Teaching Hospitals NHS Foundation Trust,Sheffield Teaching Hospitals NHS Foundation Trust
canstffds,E38000153,E38000028,Staffordshire Wheelchair Service - (South),WS11 9SS,Unit 8 Norton Canes Business Park Norton Green Lane Cannock Staffordshire,01782 216940,01782 285224,Staffordshire.wheelchairs@nhs.net,www.opcare.co.uk,Opcare Ltd,Staffordshire CCG's
clifstffds,E38000126,E38000175,Staffordshire Wheelchair Service (North),ST6 7AG,Clifford Street Hanley Stoke on Trent Staffordshire,01782 216940,01782 285224,Staffordshire.wheelchairs@nhs.net,www.opcare.co.uk,Opcare Ltd,Stoke on Trent CCG
wsfbsted,E38000204,E38000204,West Suffolk Wheelchair Services,IP32 7BX,Disability Resource Centre Bunting Road Moreton Hall Estate  Bury St Edmunds Suffolk,01284 748843,01284 748889,,,Suffolk Primary Care Trust,Suffolk Primary Care Trust
esfipswsf,E38000086,E38000086,East Suffolk Wheelchair Service,IP2 0QY,Chantry Clinic Hawthorn Drive   Ipswich Suffolk,01473 692727,01473 603640,,,Suffolk Primary Care Trust,Suffolk Primary Care Trust
leathsrry,E38000128,E38000177,Central Surrey Wheelchair Service,KT22 8SD,Leatherhead Hospital Poplar Road   Leatherhead Surrey,01372 384383,01372 384374,csh.wheelchairservice@nhs.net,,Central Surrey Wheelchair Service,Central Surrey Wheelchair Service
crydsurry,E38000040,E38000040,Croydon Wheelchair Services,CR0 2QT,28 Boulogne Road    Croydon Surrey,020 8665 9313,020 8689 9169,,,Croydon  NHS Primary Care Trust,Croydon  NHS Primary Care Trust
woksurry,E38000178,E38000128,Surrey Wheelchair Services,GU22 7HS,Woking Community Hospital Heathside Road   Woking Surrey,0300 303 85 39,01483 846265,wheelchair.services@virgincare.co.uk,www.virgincare.co.uk,Virgincare NHS,Virgincare NHS
bognwssx,E38000083,E38000213,Bognor Regis Wheelchair Service,PO22 9PP,Bognor Regis War Memorial Hospital Shripney Road   Bognor Regis West Sussex,01243 623650,01243 623652,SCT-TR.wheelchairservicebognor@nhs.net,http://www.sussexcommunity.nhs.uk,Sussex Community NHS Trust,Sussex Community NHS Trust
horwessx,E38000083,E38000083,Sussex Community NHS Trust Wheelchair Service - Horsham Locality,RH12 2DR,Horsham Hospital Hurst Road   Horsham West Sussex,01403 227000 ext 7160,01403 227015,,,Sussex Community NHS Trust,Sussex Community NHS Trust
worbrssx,E38000213,E38000021,Worthing Wheelchair Service,BN2 3EX,Sussex Rehabilitation Centre Brighton General Hospital Elm Grove  Brighton East Sussex,01273 265850,01273 242016,SC-TR.wheelchairserviceworthing@nhs.net,,Sussex Community NHS Trust,Sussex Community NHS Trust
taysdnde,E38000182,,Tayside Orthopaedic & Rehabilitation Technology Centre,DD1 9SY,Ninewells Hospital    Dundee Tayside,01382 496299/496300,01382 496322,geoff.bardsley@tuht.scot.nhs.uk,,NHS Tayside,NHS Tayside
steemidd,E38000162,E38000162,South Tees Wheelchair Service,TS4 3BW,The James Cook University Hospital Marton Road   Middlesbrough Cleveland,01642 854127,01642 854376,Christine.willans@stees.nhs.uk,,South Tees Acute Hospitals NHS Foundation Trust,South Tees CCG
sundtyne,E38000176,E38000176,Sunderland Wheelchair Service,SR2 9TS,Independant Living Centre Claymere Road Leechmere Industrial Estate  Sunderland Tyne & Wear,0191 520 5555,0191 5662182,,,City of Sunderland Social Services,City of Sunderland Social Services
gatetyne,E38000212,E38000212,Gateshead Wheelchair Services,NE11 0QD,Queens Park Queensway North Team Valley Trading Estate  Gateshead Tyne and Wear,0845 111 1155,0191 4434413,,,South Tyneside Foundation NHS Trust,Gateshead CCG
newctyne,E38000212,E38000212,Newcastle Disablement Services Centre,NE7 7AF,Freeman Road High Heaton   Newcastle Upon Tyne Tyne and Wear,0191 223 1184,0191 2231251,,,Newcastle Upon Tyne Hospitals NHS Foundation Trust,Newcastle Upon Tyne Hospitals NHS Foundation Trust
stysthshld,E38000127,E38000163,Wheelchair Services,NE34 0PL,South Tyneside District Hospital Harton Lane   South Shields Tyne and Wear,0191 404 1000,0191 456 2980,,,South Tyneside NHS Foundation Trust,South Tyneside NHS Foundation Trust
nttynside,E38000127,E38000127,North Tyneside Wheelchair Service,NE29 0SF,Victoria Therapy Centre Hawkeys Lane   North Shields Tyneside,0191 282 8090,0191 219 6619,wheelchair.service@northtyneside-pct.nhs.uk,,Northumbria Healthcare NHS Foundation Trust,Northumbria Healthcare NHS Foundation Trust
warwarw,E38000164,E38000164,Warwickshire Wheelchair & Special Seating Service,CV34 6SR,Leamington HospitalÂ Heathcote Lane HeathcoteÂ  Warwick Warwickshire,01926 317723,01926 317710,wheelchairs@swft.nhs.uk,,"S Warwickshire CCG, Coventry and Rugby CCG, N Warwickshire CCG",NHS Warwickshire
nthwarw,E38000164,E38000195,North Warwickshire & Rugby Wheelchair Service,CV11 5TY,Riversley Park Clinic Cotton Road   Nuneaton Warwickshire,02476 321483,01203 320526,,,North Warwickshire NHS Trust,North Warwickshire NHS Trust
covwesm,E38000038,,Coventry Wheelchair Service,CV1 4NZ,Newfield House KingField Road   Coventry West Midlands,02476 237 055,02476 237 052,,,Coventry and Warwickshire Partnership Trust,Coventry and Warwickshire Partnership Trust
sandwmid,E38000144,E38000144,Sandwell Wheelchair Service,B66 1JE,Independent Living Centre 100 Oldbury Road   Smethwick West Midlands,0121 565 7950,0121 565 7975,,,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell and West Birmingham Hospitals NHS Trust
solihlwm,E38000149,E38000220,Solihull Wheelchair Service,B37 7HY,Unit 1 and 6 Century Park Starley Way Bickenhill  Solihull West Midlands,0121 3290900,,,,Solihull Metropolitan Borough Council,Solihull Metropolitan Borough Council
dudwmd,E38000046,E38000046,Dudley Wheelchair Service,DY8 4JB,Corbett Outpatient Centre Vicarage Rd   Stourbridge West Midlands,01384 244793,01384 244755,wheelchair.service@dgoh.nhs.uk,,The Dudley Group of Hospitals NHS Trust,The Dudley Group of Hospitals NHS Trust
walsllwm,E38000191,E38000028,Walsall ICES Community Equipment Stores,WS12 4HD,Units 5  Electrium Point Ashmore Lake Way  Willenhall West Midlands,01922 604960,01922 655707,,,Walsall Healthcare NHS,Walsall Healthcare NHS
wolwmd,E38000210,E38000210,Wolverhampton Wheelchair Service Maltings Mobility Centre,WV1 1NQ,The Maltings Herbert Street   Wolverhampton West Midlands,01902 444042,01902 444038,,,Wolverhampton City Primary Care Trust,Wolverhampton City Primary Care Trust
birmwmd,E38000012,E38000220,Birmingham  Wheelchair Service,B29 6JA,West Midlands Rehab Centre 91 Oak Tree Lane Selly Oak  Birmingham West Midlands,0121 466 3000,0121 471 3690,Birmingham.Wheelchairs@NHS.net,www.bhamcommunity.nhs.uk/wheelchair,Birmingham Community Healthcare NHS Trust,
airwyork,E38000001,E38000001,Airedale Mobility Services,BD20 6TD,Airedale General Hospital Skipton Road Steeton  Near Keighley West Yorkshire,01535 292228,01535 294684,,www.airedale-trust.nhs.uk,Airedale NHS Foundation Trust,Airedale NHS Foundation Trust
bradwyor,E38000018,E38000019,Bradford Wheelchair Assessment Centre,BD8 9RY,Unit 1 Four Lanes Business Park Cemetary Road   Bradford West Yorkshire,01274 322555,01274 322515,,,Bradford Teaching Hospitals NHS Trust,Bradford Teaching Hospitals NHS Trust
caldhawy,E38000064,E38000025,"Calderdale, Greater Huddersfield and North Kirklees Posture and Mobility Services",HX5 9HB,Unit G7 Navigation Close Lowfields Business Park Elland Halifax West Yorkshire,01422 312729,01422 314640,HuddersfieldWheelchairs@opcare.co.uk,,Opcare Ltd,Calderdale North Kirklees and Greater Huddersfield
leedwyks,E38000096,E38000225,Leeds Wheelchair Centre,LS14 6UH,Seacroft Hospital York Road   Leeds West Yorkshire,0113 2063855,0113 2063857,wheelchairs.cah@leedsth.nhs.uk,http://www.leedsth.nhs.uk/a-z-of-services/specialist-rehabilitation,The Leeds Teaching Hospital NHS Trust,Leeds West CCG
wakleeds,E38000190,E38000190,Wakefield Wheelchair Services,WF2 8EF,Unit 10   Turner Way Trinity Business Park   Wakefield West Yorkshire,01924 327133,01924 328152,,,Wakefield Metropolitan District Council,Wakefield Metropolitan District Council
wiltshre,E38000206,E38000206,Wiltshire Wheelchair Service and Specialist Service,SN12 7NA,Melksham Community Hospital Spa Road Melksham Wiltshire,01225 899 130,01225 701696,Joanne.lawton@gwh.nhs.uk,,Great Western Hospitals NHS Foundation Trust,Wiltshire CCG
swindwre,E38000181,E38000181,Swindon Wheelchair and Special Seating Service,SN2 8UU,Unit 12 Birch Kembrey Park   Swindon Wiltshire,0303 333 1460 option 2,01793 422821,,,SEQQL,SEQQL
wyworce,E38000166,E38000166,Worcestershire Wheelchair Service,WR9 0BX,Crown Lane    Wychbold Worcestershire,01527 869107,01527 869102,gcooper@worcestershire.gov.uk,,Worcestershire Health and Care NHS Trust,Worcestershire Health and Care NHS Trust
wirrlmsy,E38000208,E38000208,Wirral Wheelchair Service,CH41 5DA,Hind St Birkenhead   Wirral Merseyside,0151 6047261,0151 6526799,,http://www.wirralct.nhs.uk,Wirral Community NHS Trust,Wirral CCG
guilfwlsry,E38000214,E38000214,Guildford Wheelchair Service,GU1 1LJ,The Jarvis Centre Stoughton Road   Guildford Surrey,,,wheelchair.services@virgincare.co.uk,http://www.virgincare.co.uk/vc-providers/surrey-wheelchair-jarvis-centre/,Virgin Care (Community),Guildford and Waverley CCG
nthteestk,E38000075,E38000075,North Tees Wheelchair Service,TS19 8PE,Wheelchair Service University Hospital of North Tees Hardwick  Stockton on Tees Cleveland,01642 624882,01642 624794,judith.ruddle@nth.nhs.uk,,North Tees and Hartlepool NHS Foundation Trust,North Tees and Harlepool CCG
bsthighwd,E38000022,E38000222,Bristol Wheelchair and Special Seating Service,BS34 5BW,Highwood PavillionsÂ  Jupiter Road Patchway Bristol,0300 3000110,0117 3403454,wheelchairs@nbt.nhs.uk,https://www.nbt.nhs.uk/bristol-centre-enablement,North Bristol NHS Trust,"Bristol, North Somerset, South Glos, Bristol and North East Somerset"
